_id,Calendar Year,Hospital and Health Service (2014),Facility ID,Facility Name,Mothers,Babies
130,1996,Central Queensland,139,Mount Morgan,12,12
131,1996,Central Queensland,140,Moura,33,33
132,1996,Central Queensland,141,Rockhampton,979,993
133,1996,Central Queensland,142,Springsure,16,16
134,1996,Central Queensland,143,Theodore,20,20
135,1996,Central Queensland,144,Capricorn Coast (Yeppoon),15,15
136,1996,Central Queensland,145,Woorabinda,7,7
137,1996,Central West,131,Alpha,3,3
138,1996,Central West,151,Aramac,2,2
139,1996,Central West,152,Barcaldine,13,13
140,1996,Central West,153,Blackall,19,19
141,1996,Central West,156,Longreach,92,92
142,1996,Central West,159,Winton,20,20
143,1996,Darling Downs,70,Kingaroy,279,283
144,1996,Darling Downs,75,Murgon,3,3
145,1996,Darling Downs,76,Nanango,1,1
146,1996,Darling Downs,77,Wondai,35,35
147,1996,Darling Downs,91,Chinchilla,78,78
148,1996,Darling Downs,92,Dalby,208,208
149,1996,Darling Downs,93,Goondiwindi,121,122
150,1996,Darling Downs,94,Inglewood,5,5
151,1996,Darling Downs,95,Jandowae,6,6
152,1996,Darling Downs,97,Miles,28,28
153,1996,Darling Downs,98,Millmerran,1,1
154,1996,Darling Downs,100,Stanthorpe,124,124
155,1996,Darling Downs,101,Tara,11,11
156,1996,Darling Downs,102,Taroom,14,14
157,1996,Darling Downs,103,Texas,6,6
158,1996,Darling Downs,104,Toowoomba,1400,1415
159,1996,Darling Downs,105,Warwick,230,230
160,1996,Gold Coast,50,Gold Coast,2268,2290
161,1996,Home Births,99999,na,238,240
162,1996,Mackay,171,Clermont,41,41
163,1996,Mackay,172,Mackay,939,952
164,1996,Mackay,173,Moranbah,41,41
165,1996,Mackay,174,Proserpine,179,180
166,1996,Mackay,176,Dysart,50,51
167,1996,Mackay,192,Bowen,47,47
168,1996,Mackay,194,Collinsville,10,11
169,1996,Mackay,995,Mackay Base Hospital Birthing Centre,73,73
170,1996,Mater Public Hospitals,1,Mater Brisbane,1,1
171,1996,Mater Public Hospitals,3,Mater Mothers',4446,4534
172,1996,Metro North,4,The Prince Charles,1,1
173,1996,Metro North,9,Royal Women's,4273,4367
174,1996,Metro North,16,Redcliffe,1178,1190
175,1996,Metro North,30,Caboolture,1200,1211
176,1996,Metro North,46,Kilcoy,31,31
177,1996,Metro North,994,RBWH Birthing Centre,196,196
178,1996,Metro South,24,Wynnum,1,1
179,1996,Metro South,25,Marie Rose Centre (Dunwich),1,1
180,1996,Metro South,28,Redland,1,1
181,1996,Metro South,29,Logan,2805,2825
182,1996,Metro South,41,Beaudesert,327,330
183,1996,North West,243,Cloncurry,5,5
184,1996,North West,245,Julia Creek,3,3
185,1996,North West,246,Mount Isa,610,617
186,1996,North West,247,Normanton,1,1
187,1996,North West,249,Mornington Island,1,1
188,1996,North West,252,Doomadgee,1,1
189,1996,Private,99999,na,12363,12595
190,1996,South West,112,Charleville,76,76
191,1996,South West,113,Cunnamulla,21,21
192,1996,South West,116,Mitchell,11,11
193,1996,South West,118,Quilpie,2,2
194,1996,South West,119,Roma,155,157
195,1996,South West,120,St George,61,61
196,1996,Sunshine Coast,43,Caloundra,4,4
197,1996,Sunshine Coast,48,Maleny,31,31
198,1996,Sunshine Coast,49,Nambour,2091,2120
199,1996,Sunshine Coast,68,Gympie,418,418
200,1996,Torres and Cape,213,Bamaga,2,2
201,1996,Torres and Cape,216,Cooktown,20,20
202,1996,Torres and Cape,226,Thursday Island,215,216
203,1996,Torres and Cape,228,Weipa,15,16
204,1996,Torres and Cape,230,Aurukun PHC,1,1
205,1996,Torres and Cape,232,Wujal Wujal PHC,1,1
206,1996,Torres and Cape,233,Lockhart River PHC,1,1
207,1996,Torres and Cape,253,Kowanyama PHC,1,1
208,1996,Torres and Cape,942,Badu Island PHC,1,1
209,1996,Torres and Cape,948,Murray Island PHC,1,1
210,1996,Townsville,191,Ayr,195,197
211,1996,Townsville,193,Charters Towers,37,37
212,1996,Townsville,196,Ingham,163,163
213,1996,Townsville,197,Joyce Palmer HS,10,10
214,1996,Townsville,198,Townsville,2,2
215,1996,Townsville,199,Kirwan,1696,1722
216,1996,Townsville,244,Hughenden,5,5
217,1996,Townsville,248,Richmond,8,8
218,1996,Townsville,916,Magnetic Island HSC,4,4
219,1996,Unknown,999,Unknown,29,29
220,1996,West Moreton,15,Ipswich,1638,1652
221,1996,West Moreton,42,Boonah,12,12
222,1996,West Moreton,45,Gatton,15,15
223,1996,Wide Bay,62,Bundaberg,767,782
224,1996,Wide Bay,66,Gayndah,10,10
225,1996,Wide Bay,67,Gin Gin,2,2
226,1996,Wide Bay,69,Hervey Bay,70,70
227,1996,Wide Bay,71,Maryborough,858,867
228,1996,Wide Bay,72,Monto,34,34
229,1996,Wide Bay,74,Mundubbera,5,5
230,1996,Wide Bay,996,Bundaberg Hospital Birthing Centre,70,70
231,1997,Cairns and Hinterland,211,Atherton,271,273
232,1997,Cairns and Hinterland,212,Babinda,20,20
233,1997,Cairns and Hinterland,214,Cairns,1664,1701
234,1997,Cairns and Hinterland,222,Innisfail,282,283
235,1997,Cairns and Hinterland,223,Mareeba,172,177
236,1997,Cairns and Hinterland,224,Mossman,101,101
237,1997,Cairns and Hinterland,227,Tully,49,49
238,1997,Cairns and Hinterland,229,Gurriny Yealamucka PHC,7,7
239,1997,Central Queensland,133,Biloela,123,123
240,1997,Central Queensland,135,Emerald,275,275
241,1997,Central Queensland,136,Gladstone,509,512
242,1997,Central Queensland,139,Mount Morgan,9,9
243,1997,Central Queensland,140,Moura,34,34
244,1997,Central Queensland,141,Rockhampton,1006,1024
245,1997,Central Queensland,142,Springsure,20,20
246,1997,Central Queensland,143,Theodore,11,11
247,1997,Central Queensland,144,Capricorn Coast (Yeppoon),18,18
248,1997,Central Queensland,145,Woorabinda,7,7
249,1997,Central West,151,Aramac,2,2
250,1997,Central West,152,Barcaldine,19,20
251,1997,Central West,153,Blackall,20,20
252,1997,Central West,156,Longreach,94,96
253,1997,Central West,159,Winton,22,22
254,1997,Darling Downs,63,Cherbourg,9,9
255,1997,Darling Downs,70,Kingaroy,329,331
256,1997,Darling Downs,75,Murgon,1,1
257,1997,Darling Downs,77,Wondai,30,30
258,1997,Darling Downs,91,Chinchilla,74,74
